user_id,pool,role,pool_lang,n_query,n_candidate,t_star,first_ts,last_ts
user_34e4cc11,POOL-XLING-ES,matched,en|es,18,17,0,1305807757,1650099626
user_f70b23cd,POOL-XLING-ES,matched,en|es,19,59,0,1568141809,1673726493
user_26278281,POOL-XLING-ES,matched,en|es,148,25,0,1473085836,1710428744
user_29777988,POOL-XLING-ES,matched,en|es,212,14,0,1551551188,1711540355
user_674644a6,POOL-XLING-ES,matched,en|es,14,31,0,1516614098,1632170979
user_8d2a186e,POOL-XLING-ES,matched,en|es,11,17,0,1577177125,1708127447
user_98f3d65f,POOL-XLING-ES,matched,en|es,57,11,0,1477298059,1579612125
user_a7632687,POOL-XLING-ES,matched,en|es,30,11,0,1497472961,1635264902
user_48070ee7,POOL-XLING-ES,matched,en|es,20,43,0,1489434373,1709703789
user_c6d05dfa,POOL-XLING-ES,matched,en|es,28,12,0,1630427415,1695320988
user_848a5f62,POOL-XLING-ES,matched,en|es,13,500,0,1279816798,1627751382
user_fcd8e067,POOL-XLING-ES,matched,en|es,12,12,0,1450793356,1562941688
user_f5e37fcc,POOL-XLING-ES,matched,en|es,38,193,0,1399655180,1711372232
user_0574044b,POOL-XLING-ES,matched,en|es,44,39,0,1496739628,1604055383
user_5f77ecd3,POOL-XLING-ES,matched,en|es,22,21,0,1593440533,1632314039
user_f61e6f46,POOL-XLING-ES,matched,en|es,138,43,0,1426261057,1671801264
user_06039512,POOL-XLING-ES,matched,en|es,11,12,0,1608214845,1682583171
user_400f0045,POOL-XLING-ES,matched,en|es,10,153,0,1391987861,1669126767
user_af10c2af,POOL-XLING-ES,matched,en|es,131,11,0,1531130158,1679906833
user_aaadbdef,POOL-XLING-ES,matched,en|es,67,16,0,1389609224,1651750278
user_0c9213d9,POOL-XLING-ES,matched,en|es,155,58,0,1279648486,1556308114
user_63e9c815,POOL-XLING-ES,matched,en|es,93,500,0,1266608666,1499475174
user_ae417d56,POOL-XLING-ES,matched,en|es,13,27,0,1428493829,1711027714
user_29d5fbdb,POOL-XLING-ES,matched,en|es,10,60,0,1423671534,1711817496
user_6f637e2b,POOL-XLING-ES,matched,en|es,85,25,0,1390792036,1628786293
user_f48bed1f,POOL-XLING-ES,matched,en|es,13,17,0,1380645923,1692114815
user_dc5db9ad,POOL-XLING-ES,matched,en|es,15,15,0,1555989195,1702838447
user_ac95bdf1,POOL-XLING-ES,matched,en|es,11,10,0,1438398708,1534377544
user_2f5ac542,POOL-XLING-ES,matched,en|es,21,10,0,1568485547,1706527096
user_2e229dce,POOL-XLING-ES,matched,en|es,20,32,0,1325967226,1571913171
user_7a8655fe,POOL-XLING-ES,matched,en|es,14,13,0,1572610630,1681744035
user_eb3a2da8,POOL-XLING-ES,matched,en|es,500,36,0,1488556793,1674162787
user_5c236680,POOL-XLING-ES,matched,en|es,45,96,0,1363343673,1656930980
user_eea3feb1,POOL-XLING-ES,matched,en|es,21,24,0,1447974360,1618611613
user_7a41f790,POOL-XLING-ES,matched,en|es,13,18,0,1499376322,1549293685
user_5bf6deca,POOL-XLING-ES,matched,en|es,54,14,0,1511546871,1691679239
user_1a3a2edc,POOL-XLING-ES,matched,en|es,57,17,0,1548864183,1633355769
user_17cfd30b,POOL-XLING-ES,matched,en|es,295,30,0,1473907516,1615317696
user_b6e51d92,POOL-XLING-ES,matched,en|es,52,10,0,1589031743,1706107929
user_2601d402,POOL-XLING-ES,matched,en|es,13,10,0,1505235539,1614974459
user_1e51f5fd,POOL-XLING-ES,matched,en|es,177,26,0,1459210323,1692652007
user_d5823a72,POOL-XLING-ES,matched,en|es,10,13,0,1430057999,1708808137
user_47e687bd,POOL-XLING-ES,matched,en|es,11,18,0,1581211311,1673454819
user_88447a41,POOL-XLING-ES,matched,en|es,71,19,0,1543174869,1695066782
user_a0b871e5,POOL-XLING-ES,matched,en|es,29,39,0,1385044595,1657287411
user_8459107a,POOL-XLING-ES,matched,en|es,29,25,0,1557172062,1637689526
user_208b74f1,POOL-XLING-ES,matched,en|es,48,18,0,1490096565,1590594096
user_62c5a050,POOL-XLING-ES,matched,en|es,37,137,0,1623424729,1704986456
user_3472d9b2,POOL-XLING-ES,matched,en|es,18,51,0,1383936507,1659480743
user_a65fa7fe,POOL-XLING-ES,matched,en|es,18,41,0,1398751371,1615380426
user_8232c150,POOL-XLING-ES,matched,en|es,35,12,0,1454104478,1691760368
user_50c7b32c,POOL-XLING-ES,matched,en|es,106,34,0,1577369493,1664826960
user_f0ce51ac,POOL-XLING-ES,matched,en|es,43,116,0,1477415557,1667240336
user_1cc378fa,POOL-XLING-ES,matched,en|es,112,11,0,1434444144,1668765638
user_a6637bba,POOL-XLING-ES,matched,en|es,29,10,0,1628794747,1693606252
user_1d381ff5,POOL-XLING-ES,matched,en|es,10,18,0,1459267294,1708613164
user_f8dec181,POOL-XLING-ES,matched,en|es,39,48,0,1478543845,1710850463
user_81254ff7,POOL-XLING-ES,matched,en|es,36,35,0,1433099349,1670258001
user_d8739cfb,POOL-XLING-ES,matched,en|es,24,19,0,1623917887,1684140826
user_a9d2496c,POOL-XLING-ES,matched,en|es,11,11,0,1519779340,1542155240
user_dd7d3b6e,POOL-XLING-ES,matched,en|es,18,34,0,1489319249,1698226451
user_191a42a0,POOL-XLING-ES,matched,en|es,92,17,0,1494949328,1602682802
user_96494bf2,POOL-XLING-ES,matched,en|es,26,100,0,1480415132,1711014748
user_b3f1cd68,POOL-XLING-ES,matched,en|es,10,75,0,1448536453,1579263226
user_1055aafc,POOL-XLING-ES,matched,en|es,131,83,0,1478806969,1690452357
user_6bcef7d1,POOL-XLING-ES,matched,en|es,28,70,0,1354069258,1709417667
user_ad4a2dc1,POOL-XLING-ES,matched,en|es,58,500,0,1275426077,1484604374
user_95f28ac8,POOL-XLING-ES,matched,en|es,42,17,0,1491218766,1557905695
user_b7697b8e,POOL-XLING-ES,matched,en|es,15,102,0,1574879680,1641309633
user_64e74179,POOL-XLING-ES,matched,en|es,27,20,0,1496871878,1641414696
user_f3f78c26,POOL-XLING-ES,matched,en|es,118,12,0,1461912700,1579079559
user_289286c8,POOL-XLING-ES,matched,en|es,12,10,0,1442715869,1612812366
user_ce2eea6c,POOL-XLING-ES,matched,en|es,48,10,0,1479066397,1613999315
user_ec4f875c,POOL-XLING-ES,matched,en|es,36,64,0,1490107993,1687802625
user_c08aff26,POOL-XLING-ES,matched,en|es,53,366,0,1486659668,1663056693
user_ad90737f,POOL-XLING-ES,matched,en|es,26,13,0,1582391681,1699983888
user_66b92b74,POOL-XLING-ES,matched,en|es,10,500,0,1429174105,1591269984
user_b67bee45,POOL-XLING-ES,matched,en|es,28,22,0,1391705109,1549493853
user_732b15f2,POOL-XLING-ES,matched,en|es,20,12,0,1481666349,1688067566
user_31cd47c1,POOL-XLING-ES,matched,en|es,71,14,0,1503556576,1706388315
user_7d7d4c13,POOL-XLING-ES,matched,en|es,16,15,0,1566396668,1676290321
user_a6fbb65a,POOL-XLING-ES,matched,en|es,11,10,0,1440074253,1579601501
user_35140cc1,POOL-XLING-ES,matched,en|es,62,53,0,1372104496,1597286766
user_a71f8f55,POOL-XLING-ES,matched,en|es,19,37,0,1444759336,1605098477
user_531ffdb4,POOL-XLING-ES,matched,en|es,91,42,0,1402555591,1693731077
user_7b12b2ad,POOL-XLING-ES,matched,en|es,10,11,0,1511299607,1534330220
user_6c4bbaf5,POOL-XLING-ES,matched,en|es,12,23,0,1586940479,1687477028
user_14551b13,POOL-XLING-ES,matched,en|es,90,14,0,1498234870,1711762088
user_26ef92fe,POOL-XLING-ES,matched,en|es,108,19,0,1549471293,1609201663
user_5d44a398,POOL-XLING-ES,matched,en|es,34,10,0,1384798305,1699284881
user_bc047618,POOL-XLING-ES,matched,en|es,48,19,0,1525221136,1607630331
user_1a0fbe68,POOL-XLING-ES,matched,en|es,10,19,0,1616875814,1617638284
user_47708572,POOL-XLING-ES,matched,en|es,24,25,0,1438194143,1708218585
user_cd7c1eda,POOL-XLING-ES,matched,en|es,21,13,0,1542814752,1655794926
user_24388231,POOL-XLING-ES,matched,en|es,32,15,0,1415574677,1602518518
user_9f93b150,POOL-XLING-ES,matched,en|es,500,141,0,1474666021,1708878261
user_dc4d3122,POOL-XLING-ES,matched,en|es,14,39,0,1462066905,1695324559
user_210d565f,POOL-XLING-ES,matched,en|es,10,40,0,1487348982,1635256738
user_286254d9,POOL-XLING-ES,matched,en|es,14,38,0,1603388331,1694606413
user_a576d133,POOL-XLING-ES,matched,en|es,32,500,0,1424428277,1591803284
user_102a0dd4,POOL-XLING-ES,matched,en|es,19,93,0,1340652275,1567170119
user_e20f4ae9,POOL-XLING-ES,matched,en|es,20,82,0,1495180426,1674769015
user_d45780ec,POOL-XLING-ES,matched,en|es,102,97,0,1500034516,1707740345
user_ac63e6eb,POOL-XLING-ES,matched,en|es,10,19,0,1412130537,1672863630
user_f61d886a,POOL-XLING-ES,matched,en|es,12,188,0,1349337234,1614340587
user_8c8f19a6,POOL-XLING-ES,matched,en|es,10,43,0,1547621040,1693573603
user_7ed4c32c,POOL-XLING-ES,matched,en|es,15,39,0,1517396781,1581509045
user_ab52336c,POOL-XLING-ES,matched,en|es,49,11,0,1474078725,1672164257
user_2d5c3379,POOL-XLING-ES,matched,en|es,16,26,0,1503531443,1655892723
